1;-;Мифы народов России;1
2;-;Славянские мифы;1
3;-;Мифы народов мира;1
4;Николай Кун;Легенды и мифы Древней Греции и Древнего Рима;1
5;-;Мифы и легенды Древнего Египта;1
6;-;Великие правители Древнего Египта;1
7;Древнерусский повести; “Поучение Владимира Мономаха”;1
8;Житийная литература;“Житие Сергия Радонежского”;1
9;К.Матвеев, А.Сазонов;Земля Древнего Двуречья;1
10;-;Сказки народов России и народов мира;2
11;И.А.Крылов;Басни;4
12;И.С.Тургенев;Му- му;3
13;А.П.Чехов;Хирургия;6
14;М.М.Зощенко; “Леля и Минька”;5
15;А.П. Платонов;Рассказы, “Корова”, “Никита”, “Юшка”;6
16;В.П. Астафьев;Рассказ “Васюткино озеро”;6
17;Л.А. Кассиль;Дорогие мои мальчишки;6
18;В.П. Катаев;Сын полка;7
19;К.М.Симонов;Сын артиллериста;7
20;К.Булычев;“Девочка, с которой ничего не случится”;6
21;Х.К.Андерсон;“Снежная королева”;3
22;Л.Кэрролл;“Алиса в стране чудес”;3
23;Л.Кэрролл;“Алиса в зазеркалье”;3
24;Дж.Р.Р.Толкин;“Хоббит, или Туда и обратно”;2
25;М.Твен;“Приключения Тома Сойера”;5
26;Дж.Лондон;“Сказание о Кише”;6
27;Р.Л.Стивенсон;“Остров сокровищ”, “Черная стрела”;5
28;Э.Сетон Томпсон;“Коровлеская аналостанка ”;3
29;Дж.Даррелл;“Говорящий сверток”;3
30;Дж.р.Киплинг;“Маугли”, “Рикки-Тикки-Тави” 2 КНИГИ ОТДЕЛЬНО;2
31;Гомер;“Илиада”, “Одиссея”;4
32;Русские былины;“Илья Муромец и Соловей разбойник”, “Садко”;6
33;Народные песни, баллады народов России и мира;“Песнь о Роланде” НЕТ, “Песнь о Нибелунгах”, баллада “”Аника-воин НЕТ;4
34;И.С.Тургенев;Бежин луг;6
35;А.И.Куприн;“Чудесный доктор”;8
36;А.В.Жвалевский и Е.Б.Пастернак;“Время вседа хорошее”;6
37;В.В.Ледерман;“Календарь ма(й)я”;5
38;Д.Дефо;“Робинзон Крузо”;8
39;Дж.Свифт;“Путешествия Гулливера”;6
40;Д.У.Джонс;“Дом с характером”;6
41;Н.В.Гоголь;“Тарас Бульба”;4
42;Л.Н.Толстой;“После бала”, “Отрочество”;7
43;Л.Л.Волкова;“Всем выйти из кадра”;3
44;М.де Сервантес Сааведра;Хитроумный идальго, Дон Кихот Ламанчский;5
45;О.Генри;“Дары волхвов”;4
46;Д.И.Фонвизин;Недоросль;6
47;А.Т.Твардовский;“Василий Теркин”;6
48;А.Н. Толстой;“Русский характер”;5
49;У. Шекспир;Сонеты;4
50;Ж.Б.Мольер;“Мещанин во дворянстве”;5
51;Г.Р.Державин;Стихотворения;2
52;Н.М.Карамзин;Бедная Лиза;4
53;Антония Погорельского;“Лафертовская маковница”;3
54;А.И.Герцена;“Кто виноват”;2
55;Н.С.Лесков;Рассказы и повести (Очарованный странник, “Однодум”);5
56;Ч.Диккенс;«Дэвид Копперфилд», «Большие надежды»;2
57;Г.Флобера;“Мадам Бовари”;2
58;Г.Ибсен;“Кукольный дом”;2
59;Л.Н.Андреев;Рассказы и повести;4
60;О.Э.Мандельштам;Сборник стихотворений;2
61;А.А.Ахматова;Сборник стихотворений;2
62;Н.А.Островский;“Как закалялась сталь”;4
63;К.Д.Воробьев;“Убиты под Москвой”, “Это мы Господи”;2
64;В.Л.Кондратьев;“Сашка”;2
65;В.П.Некрасов;“В окопах Сталинграда”;2
66;Е.И.Носов;“Красное вино победы”;2
67;А.А.Фадеев;“Молодая гвардия”;2
68;В.О.Богомолов;“В августе сорок четвертого”;3
69;Ч.Т.Айтматов;“Пегий пес, бегущий краем моря”;2
70;А.Камю;“Посторонний”;3
71;Анна Старбинец;Зверский детектив;1
72;Фрауке Шойнеманн;Приключения кота детектива;1
73;Калинина Александра;Сыщики из “5 А”;1
74;Калинина Александра;Пиксель и Золотое кольцо;1
75;Кука Канальс;Дело Золотого Жука;1
76;Юлия Иванова;“Чыжик и пыжик и тайна петербургского моста”;1
77;Юлия Иванова;“Чыжик и пыжик и побег из летнего сада”;1
78;Гринфилд Эмми Баттер;“Секрет гробницы фараона”;1
79;Сергей Алексеев;Исторические повести;1
80;Сергей Алексеев;Рассказы о Екатерине Великоц;1
81;Софья Прокофьева;Удивительные истории мальчика без тени и тени без мальчика;1
82;Борис Алмазов;Серега и пифагор;1
83;Военное детство;Петька, джек и мальчишки;1
84;Нина Дашевская;День числа Пи;1
85;А.Гайдар;Тимур и его команда;4
86;С.Киселев, А.Лисицкая;Меня нельзя обижать (школа личной безопасности);1
87;-;100 секретов планеты Земля;1
88;Микаэль Брюн-Арно;Записики из зеленого бора “Таинственные дневники Лиса Корнелия”, “Заветная тайна ”;1
89;-;Наука в загадках и отгадках;1
90;-;Вселенная майнкрафт. Полное руководство;1
91;Лариса Романовская;“Захолустье. Пока я здесь”;1
92;Владислав Крапивин;Выстрел с монитора, Я иду втречать брата;1
93;Питер Тиль;От нуля к единице;1
94;Майк Эннесли;Как общаться с трудными людьми;1
95;Лоран Гунель;Я обещаю тебе свободу;1
96;Дмитрий Лихачев;Письмо о добром и прекрасном;2
97;Луиза Мэй Олкотт;Старомодная девушка;1
98;Конрад Лоренц;Человек находит друга;1
99;Елена Усачева;Принц с последней парты;1
100;Джоан Линдси;Пикник у Висячей скалы;1
101;Лингред Астрид;Расмус- бродяга;1
102;Чак Паланик;Бойцовский клуб;4
103;Д.Оруэлл;Глотнуть воздуха;3
104;Хезер Моррис;Татуировщик из Освенцима;1
105;Нацумэ Сосэки;Ваш покорный слуга кот;1
106;Иванов Алексей;Тобол;1
107;Говард Филлипс Лавкрафт;Хребеты безумия;1
108;Райли Люсинда;Лавандовый сад;1
109;Сергей Есенин;Исповедь хулигана;2
110;Иванов Анатолий;Тени исчезают в полдень;1
111;Фредрик Бакман;Мы против вас, Медвежий угол, Бабушка велела кланяться и передать, что просит прощения;1
112;Николас Спаркс;Дневник памяти;1
113;Николла Макиавелли;Государь;1
114;Николай Гоголь;Тарас Бульба;1
115;Халеда Хоссейни;Бегущий за ветром, И эхо летит по горам;1
116;Евгений Водолазкин;Лавр;
117;Довлатов Сергей Донатович;Компромисс, Чемодан, Иностранка, Наши;1
118;Говард Филлипс Лавкрафт;Зов ктулху;2
119;Ольга Савельева;Повезло;2
120;Ян Филипп Зендкенр;Сердце, живущее в согласии;2
121;Уильям Шекспир;Традегии;3
122;Вильмонт Екатерина Николаевна;Вафли по -шпионски;1
123;Артур Конан Дойл;Знак четырех, Собака Баскервилей ;3
124;Наталья Тимошенко;Хранительница болот;1
125;Анна Гумерова и Валентина Сергеевна;Ангел мой, вера;1
126;О.Генри;Короли и капуста.  Дороги судьбы;3
127;Шон Стюарт;Звездные воины. Йода. Свидание с тьмой;1
128;Коваленкова Анастасия ;Хорошие люди;1
129;Антон Чехов;Каштанка;4
130;Ф.Достоевкий;Подросток;3
131;Эдгар Аллан По;Падение дома Ашеров;3
132;Стейнбек джон ;Зима тревоги нашей;2
133;Д. Лондон ;Странник по звездам;3
134;Сент-Экзюмпери-Антуан;Цитадель;1
135;Стивен Кинг;11/22/63;1
136;Надежда Мамаева;Черная ведьма в академии Драконов;1
137;Надежда Мамаева;Как избавиться от наследства;1
138;Надежда Мамаева;В военную академию требуется;1
139;Надежда Мамаева;Ты же ведьма;1
140;Надежда Мамаева;Водные маги жгут;1
141;Джереми Дронфилд;Мальчик, который пошел в Освенцим вслед за отцом ;1
142;Айн Рэнд;Атлант расправил плечи.Мы живые;1
143;Герман гессе;Степной волк;1
144;Во Ивлин;Мерзкая плоть;1
145;Хулио Картасар;Игра в классики;1
146;Кен Кизи;Над кукушкиным гнездом;1
147;Клайв Стэйплз Льюис;Хроники Нарнии;1
148;Григорий Белых;Республика ШКИД;1
149;Ася Лавринович;От одного зайца;1
150;Андрей Жвалевский,Евгений Пастернак;Пока я на краю;3
151;Юлия Кузнецова;Первая работа;1
152;Ласки Кэтрин;Ключ ледяных часов;1
153;Л.Толстой;Хаджи Мурат;3
154;Л.Толстой;Динка;3
155;Л.Толстой;Васек Трубачев и его товарищи;3
156;Сунь-Цзы;Искусство войны;2
157;Дмитрий Лихачев ;Письмо о добром и прекрасном;3
158;Ханна Голд;Последний медведь;1
159;Мария Парр;Вафельное сердце;1
160;Руне Белсвик;Простодурсен. Зима от начала до конца;1
161;Михаил Сухачев;Дети блокады;2
162;Митч Элбом;Вторники с морри;1
163;М.Твен;Приключения Том Сойера;4
164;-;За троном царская милость;1
165;Чарлз Диккенс;Повесть о двух городах;2
166;Чарлз Диккенс;Большие надежды;2
167;Чарлз Диккенс;Приключения Оливера Твиста;2
168;Чарлз Диккенс;Тяжелые времена;2
169;Чарлз Диккенс;Холодный дом;2
170;Чарлз Диккенс;Рождественские повести;2
171;Антон Долин;Сказки (фантастика и вымысел в мировом кинемотографе);1
172;Роберт Макки;История на миллион долларов;1
173;Джим Пайпер;Грамматика кино;1
174;Кристофер Нолан;Фильмы, загадки и чудеса культового режиссера;1
175;Антон Долин;Как смотреть кино;1
176;Сид Филд;Киносценарий;1
177;БрайнРафтери;Лучший год в истории кино. Как1999-й изменил все;1
178;Игорь Беленький ;История кино;1
179;Арнольд Шварцнегер;Вспомнить все. Моя невероятно правдивая история;1
180;Л.В.Глазкова, В.Ю. Голубовский;Уголовный кодекс в схемах . Общая часть;5
181;Л.А. Морозова;Теория государства и права;5
182;Д.В.Акимов;Решения задач по экономике от простых до олимпиадных;3
183;Д.В. Акимов;Задания по экономике от простых до олимпиадных;10
184;И.А.Ким;Сборник заданий по экономике;10
185;-;Большая книга идей Lego technic/ Техника и изобретения;2
186;-;Большая книга идей Lego technic/ Машины и механизмы;2
187;Людмила Савина;Химия рядом с нами;1
188;Коллектив авторов;Юный химик. 100 химических опытов в быту. Совесткие учебники;1
189;Мартюшева Анастасия Владимировна;Химия без переград;1
190;Физическая карта России;;1
191;Богуславский В.М.;Упражнения по логике для средней школы 1952г.;1
192;Бойко;Азы экономики;1
193;Анна Джейн;Звезда черного дракона;1
194;Михаил Атаманов;Искажающие реальность;1
195;С.В.Куц;Земля 2252. Инкорпорация;1
196;А.Ф.Стедман;Скандар;1
197;Спицын Е.Ю.;Полный курс истории России. В 4 томах;1
198;-;Татарча-русча этимиологик сузлек;1
199;Зиннур Хоснияр;Этием кайда, суслонгер?!;1
200;Фэрит Имамов;Мэхэббэт талисманы;1
201;Дилэ Мохэррам-Хайретдинова;Мэхэббэттэн татлы жимеш;1
202;Зиннур Хоснияр;Золайха кыйсасы;1
203;Нэзифэ Кэримова;Изге ат;1
204;Зифа Кадырова;Урланган яшьлек;1
205;Милэушэ Кахарманова;Кунелем жылы тели;1
206;Венера Мэжитова;Биана;1
207;Рэдиф Сэгъди;Бер гаилэ сурэте;1
208;Кириллов В.В.;Отечественная история в схемах и таблицах;3
209;Александрова В.Н.;История русского искусства;1
210;Талызина А.А.;Историческое эссе;1
211;Хитров д.А.;Исторический проект;1
212;-;Школьные олипиады СПбГУ Право 2021, 2022;1
213;-;Школьные олипиады СПбГУ История 2019, 2020, 2021, 2022;1
214;Сорвин к.В.. Сусоколова А.А.;Человек в обществе. Система социологических понятий в кратком изложении;5
215;Покровский И.А.;Основные проблемы гражданского права;1
216;Зотов А.Ф., Миронов В.В.;Философия ;1
